Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
710732,144,1086190,14476800,0.59,18.99,0,0.145161
710763,144,1086190,14476800,0.97,29.63,0,0.445161
710791,144,1086190,14476800,1.34,29.63,0,1.332203
710822,144,1086190,14476800,1.79,29.63,0,2.932203
710852,144,1086190,14476800,8.23,29.63,0,3.7286885
710883,144,1086190,14476800,5.12,29.63,0,3.578689
710913,144,1086190,14476800,8.41,29.63,0,3.559426
710944,144,1086190,14476800,7.94,29.63,0,3.684426
710975,144,1086190,14476800,7.79,29.63,0,4.106557
711005,144,1086190,14476800,4.24,29.63,0,4.8315574
711036,144,1086190,14476800,0,29.63,0,6.0631148
711066,144,1086190,14476800,0,29.63,0,7.8181148
711097,144,1086190,14476800,1.08,29.63,0,8.6591935
711128,144,1086190,14476800,0.8,18.89,0,8.5541935
711156,144,1086190,14476800,0.81,18.89,0,8.9461864
711187,144,1086190,14476800,1.3,18.89,0,9.9211864
711217,144,1086190,14476800,2.59,18.89,0,10.1813934
711248,144,1086190,14476800,5.94,18.89,0,9.6163934
711278,144,1086190,14476800,5.25,18.89,0,8.0078689
711309,144,1086190,14476800,7.68,18.89,0,5.2478689
711340,144,1086190,14476800,9.93,18.89,0,2.865574
711370,144,1086190,14476800,6.93,18.89,0,0.965574
711583,144,1086190,14476800,5.4,20.62,0,0.427869
711614,144,1086190,14476800,6.95,20.62,0,1.327869
711644,144,1086190,14476800,5.13,20.62,0,2.085246
711675,144,1086190,14476800,8.19,20.62,0,2.685246
711706,144,1086190,14476800,7.31,20.62,0,2.262295
711736,144,1086190,14476800,5.89,20.62,0,0.762295
711887,144,1086190,14476800,0.66,22.86,0,3.347542
711918,144,1086190,14476800,0,22.86,0,10.6625424
711948,144,1086190,14476800,1.98,22.86,0,14.46598361
711979,144,1086190,14476800,3.56,22.86,0,14.1209836
712009,144,1086190,14476800,6.73,22.86,0,12.052623
712040,144,1086190,14476800,8.61,22.86,0,8.082623
712071,144,1086190,14476800,6.2,22.86,0,6.8606557
712101,144,1086190,14476800,6.13,22.86,0,8.6106557
712132,144,1086190,14476800,2.2,22.86,0,9.6229508
712162,144,1086190,14476800,1.28,22.86,0,9.8729508
712193,144,1086190,14476800,0.88,22.86,0,8.8387097
712224,144,1086190,14476800,0.69,13.54,0,6.4387097
712252,144,1086190,14476800,0.46,13.54,0,6.7330508
712283,144,1086190,14476800,1.23,13.54,0,10.0830508
712313,144,1086190,14476800,3.25,13.54,0,11.4364754
712344,144,1086190,14476800,3.77,13.54,0,10.4614754
712374,144,1086190,14476800,10.22,13.54,0,9.3058197
712405,144,1086190,14476800,4.99,13.54,0,7.9508197
712436,144,1086190,14476800,6.34,13.54,0,5.4596721
712466,144,1086190,14476800,5.76,13.54,0,1.839672
712558,144,1086190,14476800,0.9,13.54,0,0.725806
712589,144,1086190,14476800,0.85,24.91,0,2.225806
712617,144,1086190,14476800,1.09,24.91,0,3.915254
712648,144,1086190,14476800,1.53,24.91,0,5.9152542
712678,144,1086190,14476800,2.5,24.91,0,8.4262295
712709,144,1086190,14476800,5.95,24.91,0,11.4262295
712739,144,1086190,14476800,5.88,24.91,0,13.435
712770,144,1086190,14476800,6,24.91,0,14.35
712801,144,1086190,14476800,5.46,24.91,0,15.00213115
712831,144,1086190,14476800,3.43,24.91,0,15.35213115
712862,144,1086190,14476800,2.9,24.91,0,15.01606557
712892,144,1086190,14476800,1.35,24.91,0,13.97106557
712923,144,1086190,14476800,0.65,24.91,0,13.1859677
712954,144,1086190,14476800,0.76,13.4,0,12.6609677
712983,144,1086190,14476800,0.36,13.4,0,12.3503333
713014,144,1086190,14476800,0.58,13.4,0,12.2653333
713044,144,1086190,14476800,1.13,13.4,0,11.9704098
713075,144,1086190,14476800,5.63,13.4,0,11.4454098
713105,144,1086190,14476800,10.6,13.4,0,8.6336885
713136,144,1086190,14476800,7.79,13.4,0,3.298689
713167,144,1086190,14476800,6.94,13.4,0,0.377049
713197,144,1086190,14476800,6.58,13.4,0,0.127049
713348,144,1086190,14476800,0.88,21.98,0,0.617797
713379,144,1086190,14476800,1.56,21.98,0,1.967797
713409,144,1086190,14476800,3.23,21.98,0,2.51459
713440,144,1086190,14476800,6.37,21.98,0,2.12459
713470,144,1086190,14476800,10.03,21.98,0,1.463607
713501,144,1086190,14476800,6.53,21.98,0,0.503607
729054,144,1086190,14476800,1.17,25.14,0,0.28
729085,144,1086190,14476800,1.06,25.14,0,0.88
729115,144,1086190,14476800,3.6,25.14,0,1.7467213
729146,144,1086190,14476800,3.7,25.14,0,2.8967213
729176,144,1086190,14476800,5.88,25.14,-0.05733,3.7614754
729207,144,1086190,14476800,7.17,25.14,-1.0279,4.3114754
729238,144,1086190,14476800,5.6,25.14,-0.23367,5.3131148
729268,144,1086190,14476800,3.11,25.14,-0.15041,6.76311475
729299,144,1086190,14476800,3.44,25.14,-0.16938,7.89344262
729329,144,1086190,14476800,0.82,25.14,0,8.69344262
729360,144,1086190,14476800,0.8,25.14,0,9.2209677
729391,144,1086190,14476800,0.76,17.79,0,9.4709677
729419,144,1086190,14476800,0.41,17.79,0,9.46271186
729450,144,1086190,14476800,1.93,17.79,0,9.16271186
729480,144,1086190,14476800,2.83,17.79,0,8.31065574
729511,144,1086190,14476800,6.23,17.79,0,6.8606557
729541,144,1086190,14476800,6.92,17.79,-0.18349,4.65
729572,144,1086190,14476800,8.11,17.79,-1.2665,1.6
729725,144,1086190,14476800,0.43,17.79,0,0.8951613
729756,144,1086190,14476800,0.76,18.16,0,2.7451613
729784,144,1086190,14476800,0.55,18.16,0,4.0661017
729815,144,1086190,14476800,1.16,18.16,0,4.8661017
729845,144,1086190,14476800,2.65,18.16,0,4.4442623
729876,144,1086190,14476800,7.43,18.16,0,2.6442623
729906,144,1086190,14476800,9.07,18.16,-0.79993,1.3172951
729937,144,1086190,14476800,6.3,18.16,-0.32008,0.5122951
729968,144,1086190,14476800,6.95,18.16,-0.69763,0.0678689
729998,144,1086190,14476800,6.97,18.16,-0.19232,0.0228689
730149,144,1086190,14476800,1.3,23.18,0,0.5949153
730180,144,1086190,14476800,1.07,23.18,0,1.8949153
